식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,유형명,영양성분제공단위량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,1회분량,1회분량중량/부피,1일섭취횟수,섭취대상,식품중량/부피,품목제조신고번호,제조사명,수입업체명,유통업체명,수입여부,원산지국코드,원산지국명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자
F102-054540000-0037,힐리 엠에스엠 770,F,건강기능식품,1,건강기능식품,02,기능성 원료,02054,엠에스엠,0200054,엠에스엠,00,해당없음,00,해당없음,,800mg,3,,0.00,0.00,,0.50,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1정,800mg,2회,,48g,22US32581G6,PIONITY HEALTH&BIO EXPERT GROUP,소울드림 주식회사,해당없음,Y,840,미국,2,수집,2022-09-01,2025-12-30
F101-020200000-0003,힐리 셀레늄 300,F,건강기능식품,1,건강기능식품,01,영양성분,01020,셀레늄,0100020,셀레늄,00,해당없음,00,해당없음,,500mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1캡슐,500mg,1회,,30g,22US29839G8,PIONITY HEALTH&BIO EXPERT GROUP,소울드림 주식회사,해당없음,Y,840,미국,2,수집,2022-07-18,2025-12-30
F101-003030000-0144,힐리 비타민D 5000,F,건강기능식품,1,건강기능식품,01,영양성분,01003,비타민 D,0100003,비타민 D,00,해당없음,00,해당없음,,250mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1캡슐,250mg,1회,,15g,22US34788G7,PIONITY HEALTH&BIO EXPERT GROUP,소울드림 주식회사,해당없음,Y,840,미국,2,수집,2022-08-16,2025-12-30
F101-013130000-0044,힐리 비오틴 10000,F,건강기능식품,1,건강기능식품,01,영양성분,01013,비오틴,0100013,비오틴,00,해당없음,00,해당없음,,400mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1캡슐,400mg,1회,,24g,22US40568G2,PIONITY HEALTH&BIO EXPERT GROUP,소울드림 주식회사,해당없음,Y,840,미국,2,수집,2022-09-20,2025-12-30
F101-016160000-0030,힐리 마그네슘 500,F,건강기능식품,1,건강기능식품,01,영양성분,01016,마그네슘,0100016,마그네슘,00,해당없음,00,해당없음,,1300mg,4,,0.00,0.00,,1.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1캡슐,1300mg,1회,,78g,22US40569G0,PIONITY HEALTH&BIO EXPERT GROUP,소울드림 주식회사,해당없음,Y,840,미국,2,수집,2022-09-20,2025-12-30
F102-050500000-0163,히스타메드,F,건강기능식품,1,건강기능식품,02,기능성 원료,02050,프로바이오틱스,0200050,프로바이오틱스,00,해당없음,00,해당없음,,300mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,2캡슐,300mg,1회,,9g,25DE00080G0,LACTOPIA GMBH,주식회사 에스크코퍼레이션,해당없음,Y,276,독일,2,수집,2025-04-22,2025-12-30
F102-050500000-0164,히스타메드,F,건강기능식품,1,건강기능식품,02,기능성 원료,02050,프로바이오틱스,0200050,프로바이오틱스,00,해당없음,00,해당없음,,2000mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,3스쿱,2000mg,1회,,60g,22DE34592G5,LACTOPIA GMBH,주식회사 에스크코퍼레이션,해당없음,Y,276,독일,2,수집,2022-08-16,2025-12-30
F102-002020000-0017,흑백면역,F,건강기능식품,1,건강기능식품,02,기능성 원료,02002,홍삼,0200002,홍삼,00,해당없음,00,해당없음,,15000mg,44,,0.00,0.00,,11.00,2.00,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1포,15000mg,1회,,15g,23KR40263G3,"GEUMSAN BLACK GINSENG CO., LTD.",성원피씨엠 주식회사,해당없음,Y,410,대한민국,2,수집,2023-07-12,2025-12-30
F103-001010000-2631,휴덴케어 프리미엄,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,1500mg,0,,0.00,0.00,,0.00,,,210,,,,0,,,,,,,50.00,17.50,,,,1,식품의약품안전처,1정,1500mg,1회,,90g,22US37539G2,NATURALWELL INC,(주)더블유에이치글로벌,해당없음,Y,840,미국,2,수집,2022-08-31,2025-12-30
F103-001010000-2629,휴덴케어 프리미엄,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,1500mg,0,,0.00,0.00,,0.00,,,210,,,,0,,,,,,,50.00,17.50,,,,1,식품의약품안전처,1정,1500mg,1회,,90g,23US67651G3,NATURALWELL INC,(주)더블유에이치글로벌,해당없음,Y,840,미국,2,수집,2023-12-08,2025-12-30
